comparison,scenario,controller,seed,remaining_uL,seconds,status,violations
baseline,known,belief,100003,170.8075,49.3352,stopped,
baseline,shifted,belief,100020,175.4444,49.4190,stopped,
baseline,missing,belief,100037,847.9251,1.4000,stopped,
baseline,known,belief,100054,172.0668,49.5415,stopped,
baseline,shifted,belief,100071,272.9809,43.8193,stopped,
baseline,missing,belief,100088,855.4476,1.4000,stopped,
baseline,known,belief,100105,142.9473,49.1925,stopped,
baseline,shifted,belief,100122,132.1000,53.6564,completed,
baseline,missing,belief,100139,889.6476,1.4000,stopped,
baseline,known,belief,100156,187.7901,49.5956,stopped,
baseline,shifted,belief,100173,165.6859,49.4649,stopped,
baseline,missing,belief,100190,836.3413,1.4000,stopped,
baseline,known,belief,100207,198.0624,49.5409,stopped,
baseline,shifted,belief,100224,189.2239,49.5841,stopped,
baseline,missing,belief,100241,854.7820,1.4000,stopped,
baseline,known,belief,100258,148.6038,53.9019,completed,
baseline,shifted,belief,100275,275.5511,43.8111,stopped,
baseline,missing,belief,100292,866.4348,1.4000,stopped,
baseline,known,belief,100309,174.9158,48.9237,stopped,
baseline,shifted,belief,100326,132.8899,53.5736,completed,
baseline,missing,belief,100343,848.2617,1.4000,stopped,
baseline,known,belief,100360,169.0384,49.4684,stopped,
baseline,shifted,belief,100377,240.0666,43.8171,stopped,
baseline,missing,belief,100394,850.1931,1.4000,stopped,
baseline,known,belief,100411,171.0726,49.4337,stopped,
baseline,shifted,belief,100428,186.6257,49.5647,stopped,
baseline,missing,belief,100445,875.8480,1.4000,stopped,
baseline,known,belief,100462,256.3394,43.1249,stopped,
baseline,shifted,belief,100479,647.7795,16.4226,stopped,
baseline,missing,belief,100496,872.0572,1.4000,stopped,
baseline,known,belief,100513,140.9769,54.0631,completed,
baseline,shifted,belief,100530,543.1980,22.9305,stopped,
baseline,missing,belief,100547,847.4869,1.4000,stopped,
baseline,known,belief,100564,135.3776,54.0067,completed,
baseline,shifted,belief,100581,255.8350,43.8151,stopped,
baseline,missing,belief,100598,894.5330,1.4000,stopped,
baseline,known,belief,100615,192.3547,49.4722,stopped,
baseline,shifted,belief,100632,172.3450,49.1901,stopped,
baseline,missing,belief,100649,826.8909,1.4000,stopped,
baseline,known,belief,100666,201.3441,49.5908,stopped,
baseline,shifted,belief,100683,427.2680,30.1291,stopped,
baseline,missing,belief,100700,874.3765,1.4000,stopped,
baseline,known,belief,100717,198.5779,48.9179,stopped,
baseline,shifted,belief,100734,174.9477,49.4944,stopped,
baseline,missing,belief,100751,829.8307,1.4000,stopped,
baseline,known,belief,100768,155.4659,54.0547,completed,
baseline,shifted,belief,100785,184.7740,49.6340,stopped,
baseline,missing,belief,100802,859.9048,1.4000,stopped,
baseline,known,belief,100819,177.5073,49.3940,stopped,
baseline,shifted,belief,100836,672.1880,16.4208,stopped,
baseline,missing,belief,100853,833.2922,1.4000,stopped,
baseline,known,belief,100870,269.5852,43.1241,stopped,
baseline,shifted,belief,100887,190.7135,49.7839,stopped,
baseline,missing,belief,100904,852.6196,1.4000,stopped,
baseline,known,belief,100921,244.2340,43.1198,stopped,
baseline,shifted,belief,100938,207.7866,49.7346,stopped,
baseline,missing,belief,100955,858.6580,1.4000,stopped,
baseline,known,belief,100972,155.2208,55.6656,completed,
baseline,shifted,belief,100989,166.8833,49.3444,stopped,
baseline,missing,belief,101006,876.0608,1.4000,stopped,
baseline,known,belief,101023,147.3698,54.6967,completed,
baseline,shifted,belief,101040,371.3314,36.6120,stopped,
baseline,missing,belief,101057,836.9918,1.4000,stopped,
baseline,known,belief,101074,162.2471,48.7054,stopped,
baseline,shifted,belief,101091,298.8397,43.7769,stopped,
baseline,missing,belief,101108,832.2029,1.4000,stopped,
baseline,known,belief,101125,148.2343,53.6024,completed,
baseline,shifted,belief,101142,444.2843,30.1245,stopped,
baseline,missing,belief,101159,854.1099,1.4000,stopped,
baseline,known,belief,101176,285.2848,43.0952,stopped,
baseline,shifted,belief,101193,153.7023,53.7664,completed,
baseline,missing,belief,101210,885.7975,1.4000,stopped,
baseline,known,belief,101227,189.2304,48.3969,stopped,
baseline,shifted,belief,101244,197.0078,49.9737,violated,pellet-envelope
baseline,missing,belief,101261,834.4068,1.4000,stopped,
baseline,known,belief,101278,186.0837,48.8391,stopped,
baseline,shifted,belief,101295,637.1342,16.4483,stopped,
baseline,missing,belief,101312,850.8158,1.4000,stopped,
baseline,known,belief,101329,187.1784,49.4940,stopped,
baseline,shifted,belief,101346,169.1065,54.1354,completed,
baseline,missing,belief,101363,842.1925,1.4000,stopped,
baseline,known,belief,101380,168.7343,48.3739,stopped,
baseline,shifted,belief,101397,175.6194,50.0747,stopped,
baseline,missing,belief,101414,827.0034,1.4000,stopped,
baseline,known,belief,101431,158.1642,48.3887,completed,
baseline,shifted,belief,101448,205.6167,49.7723,stopped,
baseline,missing,belief,101465,865.6693,1.4000,stopped,
baseline,known,belief,101482,191.1909,49.4668,stopped,
baseline,shifted,belief,101499,162.8775,49.5338,stopped,
baseline,missing,belief,101516,871.9538,1.4000,stopped,
baseline,known,belief,101533,160.9803,49.1317,stopped,
baseline,shifted,belief,101550,274.9868,43.7964,stopped,
baseline,missing,belief,101567,841.1870,1.4000,stopped,
baseline,known,belief,101584,188.3456,49.5935,stopped,
baseline,shifted,belief,101601,255.8779,43.8263,stopped,
baseline,missing,belief,101618,830.5824,1.4000,stopped,
baseline,known,belief,101635,162.2436,49.3658,stopped,
baseline,shifted,belief,101652,545.6517,22.9315,stopped,
baseline,missing,belief,101669,840.9460,1.4000,stopped,
baseline,known,belief,101686,175.4988,49.4750,stopped,
baseline,shifted,belief,101703,178.2797,49.5393,stopped,
baseline,missing,belief,101720,858.9405,1.4000,stopped,
baseline,known,belief,101737,152.2238,54.1648,completed,
baseline,shifted,belief,101754,441.5156,30.1282,stopped,
baseline,missing,belief,101771,846.1066,1.4000,stopped,
baseline,known,belief,101788,154.0122,54.2128,completed,
baseline,shifted,belief,101805,169.5615,49.3972,stopped,
baseline,missing,belief,101822,832.3753,1.4000,stopped,
baseline,known,belief,101839,166.2979,49.4441,stopped,
baseline,shifted,belief,101856,673.6441,16.4569,stopped,
baseline,missing,belief,101873,845.1713,1.4000,stopped,
baseline,known,belief,101890,141.8097,53.8762,completed,
baseline,shifted,belief,101907,187.9162,49.4713,stopped,
baseline,missing,belief,101924,833.9172,1.4000,stopped,
