comparison,scenario,controller,seed,remaining_uL,seconds,status,violations
baseline,known,estimate,100003,136.3801,47.5161,completed,
baseline,shifted,estimate,100020,138.7582,47.8866,completed,
baseline,missing,estimate,100037,136.1033,48.3596,completed,
baseline,known,estimate,100054,133.5140,48.0598,completed,
baseline,shifted,estimate,100071,138.6915,48.5932,completed,
baseline,missing,estimate,100088,139.2517,48.7971,completed,
baseline,known,estimate,100105,108.8475,47.4015,completed,
baseline,shifted,estimate,100122,595.7503,17.9168,violated,instrument-collision
baseline,missing,estimate,100139,129.2184,51.8229,completed,
baseline,known,estimate,100156,140.8044,48.4962,completed,
baseline,shifted,estimate,100173,139.7042,47.1729,completed,
baseline,missing,estimate,100190,129.4072,48.2533,completed,
baseline,known,estimate,100207,140.1665,48.7945,completed,
baseline,shifted,estimate,100224,132.9175,48.7975,completed,
baseline,missing,estimate,100241,143.2251,48.7656,completed,
baseline,known,estimate,100258,138.5977,48.7937,completed,
baseline,shifted,estimate,100275,136.7595,48.7986,completed,
baseline,missing,estimate,100292,157.2218,49.1460,violated,pellet-envelope
baseline,known,estimate,100309,129.7924,48.4293,completed,
baseline,shifted,estimate,100326,121.0764,48.7946,completed,
baseline,missing,estimate,100343,140.8625,48.6832,completed,
baseline,known,estimate,100360,125.0793,48.1228,completed,
baseline,shifted,estimate,100377,122.8193,47.6719,completed,
baseline,missing,estimate,100394,130.3204,48.5295,completed,
baseline,known,estimate,100411,126.7306,48.0318,completed,
baseline,shifted,estimate,100428,130.6354,48.7997,completed,
baseline,missing,estimate,100445,141.2637,50.8714,completed,
baseline,known,estimate,100462,117.6429,48.7963,completed,
baseline,shifted,estimate,100479,125.4242,48.7198,completed,
baseline,missing,estimate,100496,140.8688,50.9560,completed,
baseline,known,estimate,100513,135.7973,48.7983,completed,
baseline,shifted,estimate,100530,141.9718,47.6559,completed,
baseline,missing,estimate,100547,148.9116,47.9882,completed,
baseline,known,estimate,100564,127.6114,48.7919,completed,
baseline,shifted,estimate,100581,134.5427,47.9917,completed,
baseline,missing,estimate,100598,184.1167,49.1316,violated,pellet-envelope
baseline,known,estimate,100615,147.8574,48.2965,completed,
baseline,shifted,estimate,100632,119.1303,48.1731,completed,
baseline,missing,estimate,100649,116.7827,47.8540,completed,
baseline,known,estimate,100666,144.8223,48.7884,completed,
baseline,shifted,estimate,100683,119.4088,47.6277,completed,
baseline,missing,estimate,100700,160.7068,49.1522,violated,pellet-envelope
baseline,known,estimate,100717,143.4458,48.7892,completed,
baseline,shifted,estimate,100734,133.6587,48.0765,completed,
baseline,missing,estimate,100751,126.3653,48.1346,completed,
baseline,known,estimate,100768,147.9020,48.7900,completed,
baseline,shifted,estimate,100785,140.5005,48.3988,completed,
baseline,missing,estimate,100802,143.6446,48.7992,completed,
baseline,known,estimate,100819,138.2057,47.7344,completed,
baseline,shifted,estimate,100836,148.8876,48.7976,completed,
baseline,missing,estimate,100853,121.3485,47.6138,completed,
baseline,known,estimate,100870,137.1537,48.5702,completed,
baseline,shifted,estimate,100887,144.6143,48.6371,completed,
baseline,missing,estimate,100904,137.3832,48.6967,completed,
baseline,known,estimate,100921,124.7516,47.7842,completed,
baseline,shifted,estimate,100938,144.2557,50.6605,completed,
baseline,missing,estimate,100955,133.2353,48.7338,completed,
baseline,known,estimate,100972,150.6439,51.6056,completed,
baseline,shifted,estimate,100989,133.4344,47.6467,completed,
baseline,missing,estimate,101006,154.3339,48.7982,completed,
baseline,known,estimate,101023,137.4236,50.9827,completed,
baseline,shifted,estimate,101040,153.0678,48.1490,completed,
baseline,missing,estimate,101057,134.0748,47.8568,completed,
baseline,known,estimate,101074,129.4023,47.5639,completed,
baseline,shifted,estimate,101091,133.6498,51.5126,completed,
baseline,missing,estimate,101108,126.8608,48.0687,completed,
baseline,known,estimate,101125,132.9973,48.7682,completed,
baseline,shifted,estimate,101142,124.7253,48.2243,completed,
baseline,missing,estimate,101159,137.3444,48.5784,completed,
baseline,known,estimate,101176,147.9228,48.7897,completed,
baseline,shifted,estimate,101193,867.4713,2.2789,violated,instrument-collision
baseline,missing,estimate,101210,141.1724,50.9823,completed,
baseline,known,estimate,101227,134.6177,48.3014,completed,
baseline,shifted,estimate,101244,142.7122,48.7982,completed,
baseline,missing,estimate,101261,116.8754,48.1549,completed,
baseline,known,estimate,101278,130.2719,48.7058,completed,
baseline,shifted,estimate,101295,135.0718,47.4795,completed,
baseline,missing,estimate,101312,135.6179,48.4030,completed,
baseline,known,estimate,101329,139.5105,48.4507,completed,
baseline,shifted,estimate,101346,760.5686,10.0611,violated,instrument-collision
baseline,missing,estimate,101363,135.0773,47.9376,completed,
baseline,known,estimate,101380,131.6059,47.3688,completed,
baseline,shifted,estimate,101397,239.2423,41.3390,violated,instrument-collision
baseline,missing,estimate,101414,136.6493,47.3385,completed,
baseline,known,estimate,101431,131.0825,46.7169,completed,
baseline,shifted,estimate,101448,151.8322,48.7893,completed,
baseline,missing,estimate,101465,149.6759,48.8072,completed,
baseline,known,estimate,101482,140.5469,48.4883,completed,
baseline,shifted,estimate,101499,126.1497,47.7939,completed,
baseline,missing,estimate,101516,152.9862,48.7989,completed,
baseline,known,estimate,101533,119.0242,47.6584,completed,
baseline,shifted,estimate,101550,121.9470,50.8480,completed,
baseline,missing,estimate,101567,133.9444,48.3835,completed,
baseline,known,estimate,101584,136.2717,48.5636,completed,
baseline,shifted,estimate,101601,128.9005,48.1557,completed,
baseline,missing,estimate,101618,129.5756,47.8890,completed,
baseline,known,estimate,101635,118.8385,47.9364,completed,
baseline,shifted,estimate,101652,132.7543,48.0772,completed,
baseline,missing,estimate,101669,131.1323,48.2492,completed,
baseline,known,estimate,101686,125.2301,48.4676,completed,
baseline,shifted,estimate,101703,126.2416,48.7667,completed,
