comparison,scenario,controller,seed,remaining_uL,seconds,status,violations
baseline,known,nominal,100003,131.4044,47.0872,completed,
baseline,shifted,nominal,100020,149.2633,46.6038,completed,
baseline,missing,nominal,100037,148.4119,47.0039,completed,
baseline,known,nominal,100054,137.8606,47.1190,completed,
baseline,shifted,nominal,100071,494.0996,25.0281,violated,instrument-collision
baseline,missing,nominal,100088,154.3454,47.2760,completed,
baseline,known,nominal,100105,104.2542,46.9497,completed,
baseline,shifted,nominal,100122,715.6548,9.4147,violated,instrument-collision
baseline,missing,nominal,100139,174.4984,47.5370,completed,
baseline,known,nominal,100156,156.1688,46.9725,completed,
baseline,shifted,nominal,100173,129.7051,47.0361,completed,
baseline,missing,nominal,100190,135.0200,47.2415,completed,
baseline,known,nominal,100207,160.6231,46.9837,completed,
baseline,shifted,nominal,100224,151.8542,47.0851,completed,
baseline,missing,nominal,100241,159.9616,47.1725,completed,
baseline,known,nominal,100258,157.4851,47.1034,completed,
baseline,shifted,nominal,100275,158.9113,46.9096,completed,
baseline,missing,nominal,100292,173.9547,47.1754,completed,
baseline,known,nominal,100309,145.1653,46.8723,completed,
baseline,shifted,nominal,100326,594.2423,17.2213,violated,instrument-collision
baseline,missing,nominal,100343,167.3209,46.5038,completed,
baseline,known,nominal,100360,128.8573,47.2205,completed,
baseline,shifted,nominal,100377,115.7226,47.3634,completed,
baseline,missing,nominal,100394,142.1843,47.1732,completed,
baseline,known,nominal,100411,131.3505,47.0829,completed,
baseline,shifted,nominal,100428,148.5763,47.1105,completed,
baseline,missing,nominal,100445,178.4511,47.0046,completed,
baseline,known,nominal,100462,135.1807,47.0710,completed,
baseline,shifted,nominal,100479,136.9005,47.3948,completed,
baseline,missing,nominal,100496,178.4545,47.0790,completed,
baseline,known,nominal,100513,157.7585,46.8939,completed,
baseline,shifted,nominal,100530,146.3681,46.7088,completed,
baseline,missing,nominal,100547,154.9198,46.9595,completed,
baseline,known,nominal,100564,144.9868,47.1161,completed,
baseline,shifted,nominal,100581,135.6363,47.2314,completed,
baseline,missing,nominal,100598,207.4695,46.7698,completed,
baseline,known,nominal,100615,157.7996,47.0605,completed,
baseline,shifted,nominal,100632,126.3421,47.0785,completed,
baseline,missing,nominal,100649,120.2751,46.9681,completed,
baseline,known,nominal,100666,162.1898,47.1205,completed,
baseline,shifted,nominal,100683,119.9854,46.8959,completed,
baseline,missing,nominal,100700,180.3151,46.9945,completed,
baseline,known,nominal,100717,166.9536,46.8171,completed,
baseline,shifted,nominal,100734,139.9313,47.0321,completed,
baseline,missing,nominal,100751,133.4153,47.0460,completed,
baseline,known,nominal,100768,168.9414,46.9675,completed,
baseline,shifted,nominal,100785,152.0797,47.0425,completed,
baseline,missing,nominal,100802,164.7405,46.9460,completed,
