comparison,scenario,controller,seed,remaining_uL,seconds,status,violations
baseline,known,oracle,100003,149.8368,48.0712,completed,
baseline,shifted,oracle,100020,150.3804,48.4045,completed,
baseline,missing,oracle,100037,150.4003,48.8891,completed,
baseline,known,oracle,100054,150.3479,48.3612,completed,
baseline,shifted,oracle,100071,149.3538,49.3370,completed,
baseline,missing,oracle,100088,149.7209,49.4865,completed,
baseline,known,oracle,100105,147.8027,45.4239,completed,
baseline,shifted,oracle,100122,150.0327,48.4475,completed,
baseline,missing,oracle,100139,149.4171,50.8989,completed,
baseline,known,oracle,100156,150.6880,49.2702,completed,
baseline,shifted,oracle,100173,161.5806,46.1672,completed,
baseline,missing,oracle,100190,150.2196,48.5363,completed,
baseline,known,oracle,100207,149.9631,49.7986,completed,
baseline,shifted,oracle,100224,150.9688,49.3390,completed,
baseline,missing,oracle,100241,149.7084,49.6020,completed,
baseline,known,oracle,100258,150.3670,49.5742,completed,
baseline,shifted,oracle,100275,150.0873,49.4038,completed,
baseline,missing,oracle,100292,149.3417,50.5115,completed,
baseline,known,oracle,100309,150.0473,48.6024,completed,
baseline,shifted,oracle,100326,150.2299,48.4053,completed,
baseline,missing,oracle,100343,150.0715,49.4596,completed,
baseline,known,oracle,100360,150.0878,48.1196,completed,
baseline,shifted,oracle,100377,156.9110,46.0696,completed,
baseline,missing,oracle,100394,150.1020,48.7323,completed,
baseline,known,oracle,100411,149.7734,48.1986,completed,
baseline,shifted,oracle,100428,149.5461,49.1812,completed,
baseline,missing,oracle,100445,149.8741,50.4781,completed,
baseline,known,oracle,100462,150.0647,48.4059,completed,
baseline,shifted,oracle,100479,149.8414,48.7463,completed,
baseline,missing,oracle,100496,150.0542,50.3873,completed,
baseline,known,oracle,100513,149.9755,49.3348,completed,
baseline,shifted,oracle,100530,148.7882,48.6009,completed,
baseline,missing,oracle,100547,149.6303,49.1051,completed,
baseline,known,oracle,100564,150.2853,48.9588,completed,
baseline,shifted,oracle,100581,150.0002,48.3929,completed,
baseline,missing,oracle,100598,151.0266,51.8117,completed,
baseline,known,oracle,100615,149.7012,49.3841,completed,
baseline,shifted,oracle,100632,150.2903,48.0031,completed,
baseline,missing,oracle,100649,153.5126,46.0581,completed,
baseline,known,oracle,100666,150.3998,50.0093,completed,
baseline,shifted,oracle,100683,150.3367,46.0023,completed,
baseline,missing,oracle,100700,149.1208,50.7534,completed,
baseline,known,oracle,100717,150.6020,49.8871,completed,
baseline,shifted,oracle,100734,150.2888,48.4621,completed,
baseline,missing,oracle,100751,149.9415,48.0428,completed,
baseline,known,oracle,100768,151.2099,50.0375,completed,
baseline,shifted,oracle,100785,149.7020,49.1436,completed,
